Title,url,IMDB Score,Metacritic,Runtime (mins),Budget,Opening Weekend,Gross USA,Gross World,Release Date,Rating,Genres,Country
Guardians of the Galaxy Vol. 2 (2017),http://www.imdb.com/title/tt3896198/,7.6,67,136,"$200,000,000 ",146510104,389813101,863756051,5-May-17,PG-13,Action Adventure Comedy,USA
Prometheus (2012),http://www.imdb.com/title/tt1446714/,7,64,124,"$130,000,000 ",51050101,126477084,403354469,8-Jun-12,R,Adventure Mystery Sci-Fi,USA
Alien: Covenant (2017),http://www.imdb.com/title/tt2316204/,6.4,65,122,"$97,000,000 ",36160621,74262031,240891763,19-May-17,R,Horror Sci-Fi Thriller,USA
Rise of the Planet of the Apes (2011),http://www.imdb.com/title/tt1318514/,7.6,68,105,"$93,000,000 ",54806191,176760185,481800873,5-Aug-11,PG-13,Action Drama Sci-Fi,USA
Dawn of the Planet of the Apes (2014),http://www.imdb.com/title/tt2103281/,7.6,79,130,"$170,000,000 ",72611427,208545589,710644566,11-Jul-14,PG-13,Action Adventure Drama,USA
Star Trek (2009),http://www.imdb.com/title/tt0796366/,7.9,82,127,"$150,000,000 ",75204289,257730019,385680446,8-May-09,PG-13,Action Adventure Sci-Fi,USA
Star Trek Into Darkness (2013),http://www.imdb.com/title/tt1408101/,7.7,72,132,"$190,000,000 ",70165559,228778661,467365246,16-May-13,PG-13,Action Adventure Sci-Fi,USA
Gremlins (1984),http://www.imdb.com/title/tt0087363/,7.3,70,106,"$11,000,000 ",12511634,153083102,153334030,8-Jun-84,PG,Comedy Fantasy Horror,USA
Gremlins 2: The New Batch (1990),http://www.imdb.com/title/tt0099700/,6.4,None,106,"$50,000,000 ",9702804,41482207,41482207,15-Jun-90,PG-13,Comedy Fantasy Horror,USA
Dumb and Dumber (1994),http://www.imdb.com/title/tt0109686/,7.3,41,107,"$17,000,000 ",16363442,127175374,247275374,16-Dec-94,PG-13,Comedy,USA
Dumb and Dumber To (2014),http://www.imdb.com/title/tt2096672/,5.6,36,109,"$40,000,000 ",36111775,86208010,169837010,14-Nov-14,PG-13,Comedy,USA
Despicable Me (2010),http://www.imdb.com/title/tt1323594/,7.6,72,95,"$69,000,000 ",56397125,251513985,543113985,9-Jul-10,PG,Animation Comedy Family,USA
Despicable Me 2 (2013),http://www.imdb.com/title/tt1690953/,7.3,62,98,"$76,000,000 ",83517315,368065385,970766005,3-Jul-13,PG,Animation Adventure Comedy,USA
Kingsman: The Secret Service (2014),http://www.imdb.com/title/tt2802144/,7.7,60,129,"$81,000,000 ",36206331,128261724,414351546,13-Feb-15,R,Action Adventure Comedy,UK
Kingsman: The Golden Circle (2017),http://www.imdb.com/title/tt4649466/,6.7,44,141,"$104,000,000 ",39023010,100234838,410902662,22-Sep-17,R,Action Adventure Comedy,UK
The Maze Runner (2014),http://www.imdb.com/title/tt1790864/,6.8,57,113,"$34,000,000 ",32512804,102427862,348319861,19-Sep-14,PG-13,Action Mystery Sci-Fi,USA
Maze Runner: The Scorch Trials (2015),http://www.imdb.com/title/tt4046784/,6.3,43,131,"$61,000,000 ",30316510,81697192,312296056,18-Sep-15,PG-13,Action Adventure Sci-Fi,USA
Paddington (2014),http://www.imdb.com/title/tt1109624/,7.2,77,95,"$55,000,000 ",18966676,76271832,282839394,16-Jan-15,PG,Adventure Comedy Family,UK
Paddington 2 (2017),http://www.imdb.com/title/tt4468740/,7.8,88,103,"$40,000,000 ",11001961,40891591,227978523,12-Jan-18,PG,Adventure Comedy Family,UK
Hotel Transylvania (2012),http://www.imdb.com/title/tt0837562/,7.1,47,91,"$85,000,000 ",42522194,148313048,358375603,28-Sep-12,PG,Animation Comedy Family,USA
Hotel Transylvania 2 (2015),http://www.imdb.com/title/tt2510894/,6.7,44,89,"$80,000,000 ",48464322,169700110,474800000,25-Sep-15,PG,Animation Comedy Family,USA
Mamma Mia! (2008),http://www.imdb.com/title/tt0795421/,6.4,51,108,"$52,000,000 ",27751240,144169664,609896805,18-Jul-08,PG-13,Comedy Musical Romance,USA
Mamma Mia! Here We Go Again (2018),http://www.imdb.com/title/tt6911608/,6.7,60,114,"$75,000,000 ",34952180,120634935,395044706,20-Jul-18,PG-13,Comedy Musical Romance,UK
The Incredibles (2004),http://www.imdb.com/title/tt0317705/,8,90,115,"$92,000,000 ",70467623,261441092,631606713,5-Nov-04,PG,Animation Action Adventure,USA
Incredibles 2 (2018),http://www.imdb.com/title/tt3606756/,7.6,80,118,"$200,000,000 ",182687905,608581744,1242805359,15-Jun-18,PG,Animation Action Adventure,USA
Wreck-It Ralph (2012),http://www.imdb.com/title/tt1772341/,7.7,72,101,"$165,000,000 ",49038712,189422889,471222889,2-Nov-12,PG,Animation Adventure Comedy,USA
Ralph Breaks the Internet (2018),http://www.imdb.com/title/tt5848272/,7.1,71,112,"$175,000,000 ",56237634,201091711,529323962,21-Nov-18,PG,Animation Adventure Comedy,USA
Johnny English (2003),http://www.imdb.com/title/tt0274166/,6.2,51,89,"$40,000,000 ",9134085,28082366,160466000,18-Jul-03,PG,Action Adventure Comedy,UK
Johnny English Reborn (2011),http://www.imdb.com/title/tt1634122/,6.3,46,101,"$45,000,000 ",3833300,8305970,160078586,21-Oct-11,PG,Action Adventure Comedy,UK
Cars (2006),http://www.imdb.com/title/tt0317219/,7.1,73,117,"$120,000,000 ",60119509,244082982,461983149,9-Jun-06,G,Animation Comedy Family,USA
Cars 2 (2011),http://www.imdb.com/title/tt1216475/,6.1,57,106,"$200,000,000 ",66135507,191452396,559852396,24-Jun-11,G,Animation Adventure Comedy,USA
Happy Death Day (2017),http://www.imdb.com/title/tt5308322/,6.5,58,96,"$4,800,000 ",26039025,55683845,125479266,13-Oct-17,PG-13,Horror Mystery Thriller,USA
Happy Death Day 2U (2019),http://www.imdb.com/title/tt8155288/,6.2,57,100,"$9,000,000 ",9497665,28148130,64600152,13-Feb-19,PG-13,Comedy Horror Mystery,USA
Mission: Impossible (1996),http://www.imdb.com/title/tt0117060/,7.1,59,110,"$80,000,000 ",45436830,180981856,457731198,22-May-96,PG-13,Action Adventure Thriller,USA
Mission: Impossible II (2000),http://www.imdb.com/title/tt0120755/,6.1,59,123,"$125,000,000 ",57845297,215409889,546388108,24-May-00,PG-13,Action Adventure Thriller,USA
Mission: Impossible III (2006),http://www.imdb.com/title/tt0317919/,6.9,66,126,"$150,000,000 ",47743273,134029801,398479497,5-May-06,PG-13,Action Adventure Thriller,USA
Mission: Impossible - Ghost Protocol (2011),http://www.imdb.com/title/tt1229238/,7.4,73,132,"$145,000,000 ",12785204,209397903,694713380,21-Dec-11,PG-13,Action Adventure Thriller,USA
Mission: Impossible - Rogue Nation (2015),http://www.imdb.com/title/tt2381249/,7.4,75,131,"$150,000,000 ",55520089,195042377,682714267,31-Jul-15,PG-13,Action Adventure Thriller,USA
Mission: Impossible - Fallout (2018),http://www.imdb.com/title/tt4912910/,7.7,86,147,"$178,000,000 ",61236534,220159104,791115104,27-Jul-18,PG-13,Action Adventure Thriller,USA
The Secret Life of Pets (2016),http://www.imdb.com/title/tt2709768/,6.5,61,87,"$75,000,000 ",104352905,368384330,875457937,8-Jul-16,PG,Animation Adventure Comedy,USA
The Secret Life of Pets 2 (2019),http://www.imdb.com/title/tt5113040/,6.5,55,86,"$80,000,000 ",46652680,158874395,430051293,7-Jun-19,PG,Animation Adventure Comedy,USA
A Dog's Purpose (2017),http://www.imdb.com/title/tt1753383/,7.2,43,100,"$22,000,000 ",18222810,64508620,205736628,27-Jan-17,PG,Adventure Comedy Drama,USA
A Dog's Journey (2019),http://www.imdb.com/title/tt8385474/,7.5,43,109,"$16,000,000 ",8030085,22782371,75602573,17-May-19,PG,Adventure Comedy Drama,China
John Wick (2014),http://www.imdb.com/title/tt2911666/,7.4,68,101,"$20,000,000 ",14415922,43037835,86013056,24-Oct-14,R,Action Crime Thriller,USA
John Wick: Chapter 2 (2017),http://www.imdb.com/title/tt4425200/,7.5,75,122,"$40,000,000 ",30436123,92029184,171539887,10-Feb-17,R,Action Crime Thriller,USA
Spider-Man: Homecoming (2017),http://www.imdb.com/title/tt2250912/,7.4,73,133,"$175,000,000 ",117027503,334201140,880166924,7-Jul-17,PG-13,Action Adventure Sci-Fi,USA
Spider-Man: Far from Home (2019),http://www.imdb.com/title/tt6320628/,7.5,69,129,"$160,000,000 ",92579212,390532085,1131927996,2-Jul-19,PG-13,Action Adventure Sci-Fi,USA
El Mariachi (1992),http://www.imdb.com/title/tt0104815/,6.9,73,81,"$208,000 ",312528,2040920,2040920,26-Feb-93,R,Action Crime Thriller,Mexico
Desperado (1995),http://www.imdb.com/title/tt0112851/,7.2,55,104,"$7,000,000 ",7910446,25405445,25405445,25-Aug-95,R,Action Crime Thriller,USA
Sin City (2005),http://www.imdb.com/title/tt0401792/,8,74,124,"$40,000,000 ",28100000,74103820,158733820,1-Apr-05,R,Crime Thriller,USA
Sin City: A Dame to Kill For (2014),http://www.imdb.com/title/tt0458481/,6.5,46,102,"$65,000,000 ",6317683,13757804,39407616,22-Aug-14,R,Action Crime Thriller,USA
How to Train Your Dragon (2010),http://www.imdb.com/title/tt0892769/,8.1,75,98,"$165,000,000 ",43732319,217581231,494878759,26-Mar-10,PG,Animation Action Adventure,USA
How to Train Your Dragon 2 (2014),http://www.imdb.com/title/tt1646971/,7.8,76,102,"$145,000,000 ",49451322,177002924,621537519,13-Jun-14,PG,Animation Action Adventure,USA
Toy Story (1995),http://www.imdb.com/title/tt0114709/,8.3,95,81,"$30,000,000 ",29140617,222498679,404265438,22-Nov-95,G,Animation Adventure Comedy,USA
Toy Story 2 (1999),http://www.imdb.com/title/tt0120363/,7.9,88,92,"$90,000,000 ",300163,245852179,497374776,24-Nov-99,G,Animation Adventure Comedy,USA
