Title,url,IMDB Score,Metacritic,Runtime (mins),Budget,Opening Weekend,Gross USA,Gross World,Release Date,Rating,Genres,Country
District 13: Ultimatum (2009),https://www.imdb.com/title/tt0108656/,6.5,64,101,EUR12000000,11870,36136,14103752,18 February 2009,R,Action Crime Thriller,France
Taxi (1998),https://www.imdb.com/title/tt0108656/,7.0,None,86,FRF53000000,None,None,None,20 November 1998,Not Rated,Action Comedy Crime,France
Taxi 2 (2000),https://www.imdb.com/title/tt0108656/,6.5,None,88,FRF70000000,None,626164,60726164,6 October 2000,Not Rated,Action Comedy Crime,France
Taxi 3 (2003),https://www.imdb.com/title/tt0108656/,5.8,None,84,$1300000,288000,497208,65497208,29 January 2003,Not Rated,Action Comedy Crime,France
Taxi 4 (2007),https://www.imdb.com/title/tt0108656/,5.6,None,91,None,None,None,65125001,14 February 2007,Not Rated,Action Comedy Crime,France
Miss Congeniality (2000),https://www.imdb.com/title/tt0108656/,6.2,43,109,$45000000,10046534,106807667,212742720,22 December 2000,PG-13,Action Comedy Crime,USA
Miss Congeniality 2: Armed & Fabulous (2005),https://www.imdb.com/title/tt0108656/,5.1,34,115,$45000000,14043215,48478006,101393569,24 March 2005,PG-13,Action Comedy Crime,USA
Screamers (1995),https://www.imdb.com/title/tt0108656/,6.4,None,108,$20000000,2904140,5711695,5711695,26 January 1996,R,Horror Sci-Fi Thriller,Canada
"I, Robot (2004)",https://www.imdb.com/title/tt0108656/,7.1,59,115,$120000000,52179887,144801023,353133898,16 July 2004,PG-13,Action Drama Sci-Fi,USA
I Am Legend (2007),https://www.imdb.com/title/tt0108656/,7.2,65,101,$150000000,77211321,256393010,585410052,14 December 2007,PG-13,Action Adventure Drama,USA
Sherlock Holmes (2009),https://www.imdb.com/title/tt0108656/,7.6,57,128,$90000000,62304277,209028679,524028679,25 December 2009,PG-13,Action Adventure Mystery,USA
Sherlock Holmes: A Game of Shadows (2011),https://www.imdb.com/title/tt0108656/,7.5,48,129,$125000000,39637079,186848418,543848418,16 December 2011,PG-13,Action Adventure Mystery,USA
Star Trek: The Motion Picture (1979),https://www.imdb.com/title/tt0108656/,6.4,48,132,$35000000,11926421,82604699,82604699,8 December 1979,G,Adventure Mystery Sci-Fi,USA
Star Trek II: The Wrath of Khan (1982),https://www.imdb.com/title/tt0108656/,7.7,67,113,$11200000,14347221,78912963,78912963,4 June 1982,PG,Action Adventure Sci-Fi,USA
Star Trek III: The Search for Spock (1984),https://www.imdb.com/title/tt0108656/,6.7,56,105,$17000000,16673295,76471046,76471046,1 June 1984,PG,Action Adventure Sci-Fi,USA
Star Trek IV: The Voyage Home (1986),https://www.imdb.com/title/tt0108656/,7.3,71,119,$25000000,16881888,109713132,109713132,26 November 1986,PG,Adventure Comedy Sci-Fi,USA
Star Trek V: The Final Frontier (1989),https://www.imdb.com/title/tt0108656/,5.5,43,107,$27800000,17375648,52210049,52210049,9 June 1989,PG,Action Adventure Fantasy,USA
Star Trek VI: The Undiscovered Country (1991),https://www.imdb.com/title/tt0108656/,7.2,65,110,$30000000,18162837,74888996,96888996,6 December 1991,PG,Action Adventure Sci-Fi,USA
Star Trek: Generations (1994),https://www.imdb.com/title/tt0108656/,6.6,55,118,$35000000,23116394,75671125,118071125,18 November 1994,PG,Action Adventure Mystery,USA
Star Trek: First Contact (1996),https://www.imdb.com/title/tt0108656/,7.6,71,111,$45000000,30716131,92027888,146027888,22 November 1996,PG-13,Action Adventure Drama,USA
Star Trek: Insurrection (1998),https://www.imdb.com/title/tt0108656/,6.4,64,103,$58000000,22052836,70187658,112587658,11 December 1998,PG,Action Adventure Sci-Fi,USA
Star Trek: Nemesis (2002),https://www.imdb.com/title/tt0108656/,6.4,51,116,$60000000,18513305,43254409,67336470,13 December 2002,PG-13,Action Adventure Sci-Fi,USA
Basic Instinct (1992),https://www.imdb.com/title/tt0108656/,7.0,41,127,$49000000,15129385,117727224,352927224,20 March 1992,R,Drama Mystery Thriller,France
Basic Instinct 2 (2006),https://www.imdb.com/title/tt0108656/,4.3,26,114,$70000000,3201420,5971336,38629478,31 March 2006,R,Drama Mystery Thriller,UK
