Title,url,IMDB Score,Metacritic,Runtime (mins),Budget,Opening Weekend,Gross USA,Gross World,Release Date,Rating,Genres,Country
A Nightmare on Elm Street 3: Dream Warriors (1987),http://www.imdb.com/title/tt0093629/,6.6,49.0,96,4500000.0,8880555.0,44793222.0,44793222.0,1987-02-27,R,Fantasy Horror,USA
A Nightmare on Elm Street 4: The Dream Master (1988),http://www.imdb.com/title/tt0095742/,5.7,56.0,93,13000000.0,12833403.0,49369899.0,49369899.0,1988-08-19,R,Horror,USA
A Nightmare on Elm Street 5: The Dream Child (1989),http://www.imdb.com/title/tt0097981/,5.2,54.0,89,6000000.0,8115176.0,22168359.0,22168359.0,1989-08-11,R,Fantasy Horror,USA
Freddy's Dead: The Final Nightmare (1991),http://www.imdb.com/title/tt0101917/,4.9,39.0,89,11000000.0,12966525.0,34872033.0,34872033.0,1991-09-13,R,Fantasy Horror,USA
Wes Craven's New Nightmare (1994),http://www.imdb.com/title/tt0111686/,6.4,64.0,112,8000000.0,6667118.0,18090181.0,19721741.0,1994-10-14,R,Fantasy Horror Mystery,USA
A Nightmare on Elm Street (2010),http://www.imdb.com/title/tt1179056/,5.2,35.0,95,35000000.0,32902299.0,63075011.0,115694863.0,2010-04-30,R,Crime Drama Horror,USA
Friday the 13th (1980),http://www.imdb.com/title/tt0080761/,6.5,22.0,95,550000.0,5816321.0,39754601.0,39754601.0,1980-05-09,R,Horror Mystery Thriller,USA
Friday the 13th Part 2 (1981),http://www.imdb.com/title/tt0082418/,6.1,26.0,87,1250000.0,6429784.0,21722776.0,21722776.0,1981-04-30,R,Horror Mystery Thriller,USA
Friday the 13th Part III (1982),http://www.imdb.com/title/tt0083972/,5.7,30.0,95,2300000.0,9406522.0,36690067.0,36690067.0,1982-08-13,R,Horror Thriller,USA
Friday the 13th: The Final Chapter (1984),http://www.imdb.com/title/tt0087298/,6.0,33.0,91,2600000.0,11183148.0,32980880.0,32980880.0,1984-04-13,R,Horror Thriller,USA
Friday the 13th: A New Beginning (1985),http://www.imdb.com/title/tt0089173/,4.8,16.0,92,2200000.0,8032883.0,21930418.0,21930418.0,1985-03-22,R,Horror Mystery Thriller,USA
Friday the 13th Part VI: Jason Lives (1986),http://www.imdb.com/title/tt0091080/,6.0,30.0,86,3000000.0,6750837.0,19472057.0,19472057.0,1986-08-01,R,Horror Thriller,USA
Friday the 13th Part VII: The New Blood (1988),http://www.imdb.com/title/tt0095179/,5.3,13.0,88,2800000.0,8245038.0,19170001.0,19170001.0,1988-05-13,R,Horror Thriller,USA
Friday the 13th Part VIII: Jason Takes Manhattan (1989),http://www.imdb.com/title/tt0097388/,4.6,14.0,100,5000000.0,6251310.0,14343976.0,14343976.0,1989-07-28,R,Adventure Horror Thriller,USA
Jason Goes to Hell: The Final Friday (1993),http://www.imdb.com/title/tt0107254/,4.2,17.0,87,3000000.0,7552190.0,15935068.0,15935068.0,1993-08-13,R,Fantasy Horror Thriller,USA
Friday the 13th (2009),http://www.imdb.com/title/tt0758746/,5.5,34.0,97,19000000.0,40570365.0,65002019.0,91509154.0,2009-02-13,R,Horror Mystery Thriller,USA
Pirates of the Caribbean: The Curse of the Black Pearl (2003),http://www.imdb.com/title/tt0325980/,8.0,63.0,143,140000000.0,46630690.0,305413918.0,654264015.0,2003-07-09,PG-13,Action Adventure Fantasy,USA
Pirates of the Caribbean: Dead Man's Chest (2006),http://www.imdb.com/title/tt0383574/,7.3,53.0,151,225000000.0,135634554.0,423315812.0,1066179725.0,2006-07-07,PG-13,Action Adventure Fantasy,USA
Pirates of the Caribbean: At World's End (2007),http://www.imdb.com/title/tt0449088/,7.1,50.0,169,300000000.0,114732820.0,309420425.0,960996492.0,2007-05-25,PG-13,Action Adventure Fantasy,USA
Pirates of the Caribbean: On Stranger Tides (2011),http://www.imdb.com/title/tt1298650/,6.6,45.0,137,250000000.0,90151958.0,241071802.0,1045713802.0,2011-05-20,PG-13,Action Adventure Fantasy,USA
Lara Croft: Tomb Raider (2001),http://www.imdb.com/title/tt0146316/,5.8,33.0,100,115000000.0,47735743.0,131168070.0,274703340.0,2001-06-15,PG-13,Action Adventure Fantasy,USA
Lara Croft Tomb Raider: The Cradle of Life (2003),http://www.imdb.com/title/tt0325703/,5.5,43.0,117,95000000.0,21783641.0,65660196.0,160099222.0,2003-07-25,PG-13,Action Adventure Fantasy,USA
The Godfather (1972),http://www.imdb.com/title/tt0068646/,9.2,100.0,175,6000000.0,302393.0,134966411.0,246120974.0,1972-03-24,R,Crime Drama,USA
The Godfather: Part II (1974),http://www.imdb.com/title/tt0071562/,9.0,90.0,202,13000000.0,171417.0,47834595.0,48035783.0,1974-12-18,R,Crime Drama,USA
Ocean's Eleven (2001),http://www.imdb.com/title/tt0240772/,7.7,74.0,116,85000000.0,38107822.0,183417150.0,450717150.0,2001-12-07,PG-13,Crime Thriller,USA
Ocean's Twelve (2004),http://www.imdb.com/title/tt0349903/,6.5,58.0,125,110000000.0,39153380.0,125544280.0,362744280.0,2004-12-10,PG-13,Crime Thriller,USA
Ocean's Thirteen (2007),http://www.imdb.com/title/tt0496806/,6.9,62.0,122,85000000.0,36133403.0,117154724.0,311312624.0,2007-06-08,PG-13,Action Crime Thriller,USA
Ocean's 8 (2018),https://www.imdb.com/title/tt5164214/,6.2,61.0,110,70000000.0,41607378.0,140218711.0,297718711.0,2018-06-08,PG-13,Action Comedy Crime,USA
Planet of the Apes (1968),http://www.imdb.com/title/tt0063442/,8.0,79.0,112,5800000.0,,32589624.0,32595984.0,1968-04-03,G,Adventure Sci-Fi,USA
Beneath the Planet of the Apes (1970),http://www.imdb.com/title/tt0065462/,6.1,46.0,95,3000000.0,,18999718.0,18999718.0,1970-05-26,G,Action Adventure Sci-Fi,USA
Escape from the Planet of the Apes (1971),http://www.imdb.com/title/tt0067065/,6.3,69.0,98,2500000.0,,12348905.0,12348905.0,1971-07-09,G,Action Sci-Fi,USA
Conquest of the Planet of the Apes (1972),http://www.imdb.com/title/tt0068408/,6.1,49.0,88,1700000.0,,9043472.0,9043472.0,1972-06-30,PG,Action Sci-Fi,USA
Arthur and the Invisibles (2006),http://www.imdb.com/title/tt0344854/,6.0,39.0,94,86000000.0,,15132763.0,108605609.0,2007-01-12,PG,Animation Adventure Comedy,France
Arthur et la vengeance de Maltazard (2009),http://www.imdb.com/title/tt0940657/,5.3,,107,97500000.0,,,78520547.0,2009-12-02,PG,Animation Adventure Family,France
Cheaper by the Dozen (2003),http://www.imdb.com/title/tt0349205/,5.9,46.0,98,40000000.0,27557647.0,138614544.0,190538630.0,2003-12-25,PG,Comedy Family,USA
Cheaper by the Dozen 2 (2005),http://www.imdb.com/title/tt0452598/,5.5,34.0,94,60000000.0,9309387.0,82571173.0,130154568.0,2005-12-21,PG,Adventure Comedy Family,USA
Ace Ventura: Pet Detective (1994),http://www.imdb.com/title/tt0109040/,6.9,37.0,86,15000000.0,12115105.0,72217396.0,107217396.0,1994-02-04,PG-13,Comedy,USA
Ace Ventura: When Nature Calls (1995),http://www.imdb.com/title/tt0112281/,6.4,45.0,90,30000000.0,37804076.0,108385533.0,212385533.0,1995-11-10,PG-13,Adventure Comedy Crime,USA
Nanny McPhee (2005),http://www.imdb.com/title/tt0396752/,6.5,59.0,97,25000000.0,14503650.0,47144110.0,123276807.0,2006-01-27,PG,Comedy Family Fantasy,USA
Nanny McPhee Returns (2010),http://www.imdb.com/title/tt1415283/,6.1,52.0,109,35000000.0,8407685.0,29011215.0,93251121.0,2010-08-20,PG,Comedy Family Fantasy,UK
The Expendables (2010),http://www.imdb.com/title/tt1320253/,6.5,45.0,103,80000000.0,34825135.0,103068524.0,274470394.0,2010-08-13,R,Action Adventure Thriller,USA
The Expendables 2 (2012),http://www.imdb.com/title/tt1764651/,6.6,51.0,103,100000000.0,28591370.0,85028192.0,314975955.0,2012-08-17,R,Action Adventure Thriller,USA
G.I. Joe: The Rise of Cobra (2009),http://www.imdb.com/title/tt1046173/,5.8,32.0,118,175000000.0,54713046.0,150201498.0,302469017.0,2009-08-07,PG-13,Action Adventure Sci-Fi,USA
G.I. Joe: Retaliation (2013),http://www.imdb.com/title/tt1583421/,5.8,41.0,110,130000000.0,40501814.0,122523060.0,375740705.0,2013-03-28,PG-13,Action Adventure Sci-Fi,USA
Universal Soldier (1992),http://www.imdb.com/title/tt0105698/,6.0,35.0,102,23000000.0,10057084.0,36299898.0,36299898.0,1992-07-10,R,Action Sci-Fi,USA
Universal Soldier: The Return (1999),http://www.imdb.com/title/tt0176269/,4.2,24.0,83,45000000.0,4605167.0,10667893.0,10667893.0,1999-08-20,R,Action Sci-Fi,USA
Universal Soldier: Regeneration (2009),http://www.imdb.com/title/tt1288403/,5.2,70.0,97,10000000.0,,,844447.0,2009-10-01,R,Action Adventure Sci-Fi,USA
Universal Soldier: Day of Reckoning (2012),http://www.imdb.com/title/tt1659343/,5.0,58.0,114,10000000.0,3181.0,5460.0,1402307.0,2012-10-25,R,Action Horror Mystery,USA
Nochnoy dozor (2004),http://www.imdb.com/title/tt0403358/,6.4,58.0,114,4200000.0,86985.0,1502188.0,50336279.0,2006-03-03,R,Action Fantasy Horror,Russia
Dnevnoy dozor (2006),http://www.imdb.com/title/tt0409904/,6.5,59.0,132,4200000.0,46730.0,450897.0,42918532.0,2007-06-15,R,Action Fantasy Horror,Russia
Elizabeth (1998),http://www.imdb.com/title/tt0127536/,7.4,75.0,124,30000000.0,275131.0,30082699.0,82150642.0,1999-02-19,R,Biography Drama History,UK
Elizabeth: The Golden Age (2007),http://www.imdb.com/title/tt0414055/,6.8,45.0,114,55000000.0,6153075.0,16383509.0,75782758.0,2007-10-12,PG-13,Biography Drama History,UK
Harry Potter and the Sorcerer's Stone (2001),http://www.imdb.com/title/tt0241527/,7.6,64.0,152,125000000.0,90294621.0,318087620.0,978087613.0,2001-11-16,PG,Adventure Family Fantasy,UK
Harry Potter and the Chamber of Secrets (2002),http://www.imdb.com/title/tt0295297/,7.4,63.0,161,100000000.0,88357488.0,262450136.0,879465594.0,2002-11-15,PG,Adventure Family Fantasy,UK
Harry Potter and the Prisoner of Azkaban (2004),http://www.imdb.com/title/tt0304141/,7.9,82.0,142,130000000.0,93687367.0,249975996.0,796093985.0,2004-06-04,PG,Adventure Family Fantasy,UK
Harry Potter and the Goblet of Fire (2005),http://www.imdb.com/title/tt0330373/,7.7,81.0,157,150000000.0,102685961.0,290417905.0,896346413.0,2005-11-18,PG-13,Adventure Family Fantasy,UK
Harry Potter and the Order of the Phoenix (2007),http://www.imdb.com/title/tt0373889/,7.5,71.0,138,150000000.0,77108414.0,292353413.0,942044613.0,2007-07-11,PG-13,Action Adventure Family,UK
Harry Potter and the Half-Blood Prince (2009),http://www.imdb.com/title/tt0417741/,7.6,78.0,153,250000000.0,77835727.0,302305431.0,934326396.0,2009-07-15,PG,Action Adventure Family,UK
Harry Potter and the Deathly Hallows: Part 1 (2010),http://www.imdb.com/title/tt0926084/,7.7,65.0,146,125000000.0,125017372.0,296347721.0,988649305.0,2010-11-19,PG-13,Adventure Family Fantasy,UK
Harry Potter and the Deathly Hallows: Part 2 (2011),http://www.imdb.com/title/tt1201607/,8.1,85.0,130,125000000.0,169189427.0,381409310.0,1356602810.0,2011-07-15,PG-13,Adventure Drama Fantasy,UK
28 Days Later... (2002),http://www.imdb.com/title/tt0289043/,7.6,73.0,113,8000000.0,10061858.0,45064915.0,85720385.0,2003-06-27,R,Drama Horror Sci-Fi,UK
28 Weeks Later (2007),http://www.imdb.com/title/tt0463854/,7.0,78.0,100,15000000.0,9807292.0,28638916.0,65048678.0,2007-05-11,R,Horror Sci-Fi,UK
The Da Vinci Code (2006),http://www.imdb.com/title/tt0382625/,6.6,46.0,149,125000000.0,77073388.0,217536138.0,760006945.0,2006-05-19,PG-13,Mystery Thriller,USA
Angels & Demons (2009),http://www.imdb.com/title/tt0808151/,6.7,48.0,138,150000000.0,46204168.0,133375846.0,485930816.0,2009-05-15,PG-13,Action Mystery Thriller,USA
The Boondock Saints (1999),http://www.imdb.com/title/tt0144117/,7.8,44.0,108,6000000.0,19930.0,30471.0,30471.0,1999-11-19,R,Action Crime Thriller,USA
The Boondock Saints II: All Saints Day (2009),http://www.imdb.com/title/tt1300851/,6.3,24.0,118,8000000.0,546687.0,10273188.0,10629321.0,2009-12-11,R,Action Crime Thriller,USA
Dirty Dancing (1987),http://www.imdb.com/title/tt0092890/,7.0,65.0,100,6000000.0,3900000.0,64577242.0,217688008.0,1987-08-21,PG-13,Drama Music Romance,USA
Dirty Dancing: Havana Nights (2004),http://www.imdb.com/title/tt0338096/,6.0,39.0,86,25000000.0,5900000.0,14161590.0,27685016.0,2004-02-27,PG-13,Drama Music Romance,USA
Donnie Darko (2001),http://www.imdb.com/title/tt0246578/,8.0,88.0,113,6000000.0,110494.0,1478493.0,6979093.0,2002-01-30,R,Drama Mystery Sci-Fi,USA
S. Darko (2009),http://www.imdb.com/title/tt1231277/,3.6,,103,4000000.0,,,1079949.0,2009-08-21,R,Drama Mystery Sci-Fi,USA
Ghost Rider (2007),http://www.imdb.com/title/tt0259324/,5.2,35.0,110,110000000.0,45388836.0,115802596.0,228738393.0,2007-02-16,PG-13,Action Fantasy Thriller,USA
Ghost Rider: Spirit of Vengeance (2011),http://www.imdb.com/title/tt1071875/,4.3,34.0,96,57000000.0,22115334.0,51774002.0,132563930.0,2012-02-17,PG-13,Action Fantasy Thriller,USA
The Exorcist (1973),http://www.imdb.com/title/tt0070047/,8.0,81.0,122,11000000.0,8175666.0,232906145.0,441306145.0,1973-12-26,R,Horror,USA
Exorcist II: The Heretic (1977),http://www.imdb.com/title/tt0076009/,3.8,39.0,117,14000000.0,6735000.0,30749142.0,30749142.0,1977-06-17,R,Horror,USA
The Exorcist III (1990),http://www.imdb.com/title/tt0099528/,6.4,48.0,110,11000000.0,9312219.0,26098824.0,39024251.0,1990-08-17,R,Drama Horror Mystery,USA
Exorcist: The Beginning (2004),http://www.imdb.com/title/tt0204313/,5.2,30.0,114,80000000.0,18054001.0,41821986.0,78110021.0,2004-08-20,R,Horror Mystery Thriller,USA
Dominion (2005),http://www.imdb.com/title/tt0449086/,5.2,55.0,117,30000000.0,140703.0,251495.0,251495.0,2005-08-01,R,Drama Horror Thriller,USA
The Last Exorcism (2010),http://www.imdb.com/title/tt1320244/,5.6,63.0,87,1800000.0,20366613.0,41034350.0,69432527.0,2010-08-27,PG-13,Horror Mystery Thriller,France
The X Files (1998),http://www.imdb.com/title/tt0120902/,7.0,60.0,121,66000000.0,30138758.0,83898313.0,189176423.0,1998-06-19,PG-13,Drama Mystery Sci-Fi,USA
The X Files: I Want to Believe (2008),http://www.imdb.com/title/tt0443701/,5.9,47.0,104,30000000.0,10021753.0,20982478.0,69363381.0,2008-07-25,PG-13,Crime Drama Horror,USA
The Crimson Rivers (2000),http://www.imdb.com/title/tt0228786/,6.9,49.0,106,14000000.0,111026.0,594966.0,60103680.0,2001-07-13,R,Crime Horror Mystery,France
Les rivières pourpres 2 - Les anges de l'apocalypse (2004),http://www.imdb.com/title/tt0337103/,6.0,,97,21000000.0,46376.0,152148.0,40152148.0,2004-02-18,R,Action Crime Horror,France
Les visiteurs (1993),http://www.imdb.com/title/tt0108500/,7.1,,107,9500000.0,24792.0,659810.0,98800000.0,1996-07-12,R,Comedy Fantasy,France
Les couloirs du temps: Les visiteurs II (1998),http://www.imdb.com/title/tt0120882/,6.2,,118,23000000.0,68316.0,146072.0,66000000.0,1998-03-27,G,Comedy Fantasy,France
Battle Royale (2000),http://www.imdb.com/title/tt0266308/,7.6,81.0,114,4500000.0,,,958989.0,2000-12-16,R,Adventure Drama Sci-Fi,Japan
