,Title,url,IMDB Score,Metacritic,Runtime (mins),Budget,Opening Weekend,Gross USA,Gross World,Release Date,Rating,Genres,Country
306,The French Connection (1971),http://www.imdb.com/title/tt0067116/,7.7,94.0,104,1800000.0,,51700000.0,51700000.0,1971-10-09,R,Action Crime Drama,USA
308,The Mask (1994),http://www.imdb.com/title/tt0110475/,6.9,56.0,101,23000000.0,23117068.0,119938730.0,351583407.0,1994-07-29,PG-13,Action Comedy Crime,USA
310,The Pink Panther (2006),http://www.imdb.com/title/tt0383216/,5.7,38.0,93,80000000.0,20220412.0,82226474.0,164115897.0,2006-02-10,PG,Adventure Comedy Crime,USA
312,The Silence of the Lambs (1991),http://www.imdb.com/title/tt0102926/,8.6,85.0,118,19000000.0,13766814.0,130742922.0,272753884.0,1991-02-14,R,Crime Drama Thriller,USA
314,Red Dragon (2002),http://www.imdb.com/title/tt0289765/,7.2,60.0,124,78000000.0,36540945.0,93149898.0,209196298.0,2002-10-04,R,Crime Drama Thriller,Germany
316,A Nightmare on Elm Street (1984),http://www.imdb.com/title/tt0087800/,7.5,76.0,91,1800000.0,1271000.0,25504513.0,25504513.0,1984-11-16,R,Horror,USA
318,A Nightmare on Elm Street 3: Dream Warriors (1987),http://www.imdb.com/title/tt0093629/,6.6,49.0,96,4500000.0,8880555.0,44793222.0,44793222.0,1987-02-27,R,Fantasy Horror,USA
320,A Nightmare on Elm Street 5: The Dream Child (1989),http://www.imdb.com/title/tt0097981/,5.2,54.0,89,6000000.0,8115176.0,22168359.0,22168359.0,1989-08-11,R,Fantasy Horror,USA
322,Wes Craven's New Nightmare (1994),http://www.imdb.com/title/tt0111686/,6.4,64.0,112,8000000.0,6667118.0,18090181.0,19721741.0,1994-10-14,R,Fantasy Horror Mystery,USA
324,Friday the 13th (1980),http://www.imdb.com/title/tt0080761/,6.5,22.0,95,550000.0,5816321.0,39754601.0,39754601.0,1980-05-09,R,Horror Mystery Thriller,USA
326,Friday the 13th Part III (1982),http://www.imdb.com/title/tt0083972/,5.7,30.0,95,2300000.0,9406522.0,36690067.0,36690067.0,1982-08-13,R,Horror Thriller,USA
328,Friday the 13th: A New Beginning (1985),http://www.imdb.com/title/tt0089173/,4.8,16.0,92,2200000.0,8032883.0,21930418.0,21930418.0,1985-03-22,R,Horror Mystery Thriller,USA
330,Friday the 13th Part VII: The New Blood (1988),http://www.imdb.com/title/tt0095179/,5.3,13.0,88,2800000.0,8245038.0,19170001.0,19170001.0,1988-05-13,R,Horror Thriller,USA
332,Jason Goes to Hell: The Final Friday (1993),http://www.imdb.com/title/tt0107254/,4.2,17.0,87,3000000.0,7552190.0,15935068.0,15935068.0,1993-08-13,R,Fantasy Horror Thriller,USA
334,Pirates of the Caribbean: The Curse of the Black Pearl (2003),http://www.imdb.com/title/tt0325980/,8.0,63.0,143,140000000.0,46630690.0,305413918.0,654264015.0,2003-07-09,PG-13,Action Adventure Fantasy,USA
336,Pirates of the Caribbean: At World's End (2007),http://www.imdb.com/title/tt0449088/,7.1,50.0,169,300000000.0,114732820.0,309420425.0,960996492.0,2007-05-25,PG-13,Action Adventure Fantasy,USA
338,Lara Croft: Tomb Raider (2001),http://www.imdb.com/title/tt0146316/,5.8,33.0,100,115000000.0,47735743.0,131168070.0,274703340.0,2001-06-15,PG-13,Action Adventure Fantasy,USA
340,The Godfather (1972),http://www.imdb.com/title/tt0068646/,9.2,100.0,175,6000000.0,302393.0,134966411.0,246120974.0,1972-03-24,R,Crime Drama,USA
342,Ocean's Eleven (2001),http://www.imdb.com/title/tt0240772/,7.7,74.0,116,85000000.0,38107822.0,183417150.0,450717150.0,2001-12-07,PG-13,Crime Thriller,USA
344,Ocean's Thirteen (2007),http://www.imdb.com/title/tt0496806/,6.9,62.0,122,85000000.0,36133403.0,117154724.0,311312624.0,2007-06-08,PG-13,Action Crime Thriller,USA
346,Planet of the Apes (1968),http://www.imdb.com/title/tt0063442/,8.0,79.0,112,5800000.0,,32589624.0,32595984.0,2068-04-03,G,Adventure Sci-Fi,USA
348,Escape from the Planet of the Apes (1971),http://www.imdb.com/title/tt0067065/,6.3,69.0,98,2500000.0,,12348905.0,12348905.0,1971-07-09,G,Action Sci-Fi,USA
350,Arthur and the Invisibles (2006),http://www.imdb.com/title/tt0344854/,6.0,39.0,94,86000000.0,,15132763.0,108605609.0,2007-01-12,PG,Animation Adventure Comedy,France
352,Cheaper by the Dozen (2003),http://www.imdb.com/title/tt0349205/,5.9,46.0,98,40000000.0,27557647.0,138614544.0,190538630.0,2003-12-25,PG,Comedy Family,USA
354,Ace Ventura: Pet Detective (1994),http://www.imdb.com/title/tt0109040/,6.9,37.0,86,15000000.0,12115105.0,72217396.0,107217396.0,1994-02-04,PG-13,Comedy,USA
356,Nanny McPhee (2005),http://www.imdb.com/title/tt0396752/,6.5,59.0,97,25000000.0,14503650.0,47144110.0,123276807.0,2006-01-27,PG,Comedy Family Fantasy,USA
358,The Expendables (2010),http://www.imdb.com/title/tt1320253/,6.5,45.0,103,80000000.0,34825135.0,103068524.0,274470394.0,2010-08-13,R,Action Adventure Thriller,USA
360,G.I. Joe: The Rise of Cobra (2009),http://www.imdb.com/title/tt1046173/,5.8,32.0,118,175000000.0,54713046.0,150201498.0,302469017.0,2009-08-07,PG-13,Action Adventure Sci-Fi,USA
362,Universal Soldier (1992),http://www.imdb.com/title/tt0105698/,6.0,35.0,102,23000000.0,10057084.0,36299898.0,36299898.0,1992-07-10,R,Action Sci-Fi,USA
364,Universal Soldier: Regeneration (2009),http://www.imdb.com/title/tt1288403/,5.2,70.0,97,10000000.0,,,844447.0,2009-10-01,R,Action Adventure Sci-Fi,USA
366,Nochnoy dozor (2004),http://www.imdb.com/title/tt0403358/,6.4,58.0,114,4200000.0,86985.0,1502188.0,50336279.0,2006-03-03,R,Action Fantasy Horror,Russia
368,Elizabeth (1998),http://www.imdb.com/title/tt0127536/,7.4,75.0,124,30000000.0,275131.0,30082699.0,82150642.0,1999-02-19,R,Biography Drama History,UK
370,Harry Potter and the Sorcerer's Stone (2001),http://www.imdb.com/title/tt0241527/,7.6,64.0,152,125000000.0,90294621.0,318087620.0,978087613.0,2001-11-16,PG,Adventure Family Fantasy,UK
372,Harry Potter and the Prisoner of Azkaban (2004),http://www.imdb.com/title/tt0304141/,7.9,82.0,142,130000000.0,93687367.0,249975996.0,796093985.0,2004-06-04,PG,Adventure Family Fantasy,UK
374,Harry Potter and the Order of the Phoenix (2007),http://www.imdb.com/title/tt0373889/,7.5,71.0,138,150000000.0,77108414.0,292353413.0,942044613.0,2007-07-11,PG-13,Action Adventure Family,UK
376,Harry Potter and the Deathly Hallows: Part 1 (2010),http://www.imdb.com/title/tt0926084/,7.7,65.0,146,125000000.0,125017372.0,296347721.0,988649305.0,2010-11-19,PG-13,Adventure Family Fantasy,UK
378,28 Days Later... (2002),http://www.imdb.com/title/tt0289043/,7.6,73.0,113,8000000.0,10061858.0,45064915.0,85720385.0,2003-06-27,R,Drama Horror Sci-Fi,UK
380,The Da Vinci Code (2006),http://www.imdb.com/title/tt0382625/,6.6,46.0,149,125000000.0,77073388.0,217536138.0,760006945.0,2006-05-19,PG-13,Mystery Thriller,USA
382,The Boondock Saints (1999),http://www.imdb.com/title/tt0144117/,7.8,44.0,108,6000000.0,19930.0,30471.0,30471.0,1999-11-19,R,Action Crime Thriller,USA
384,Dirty Dancing (1987),http://www.imdb.com/title/tt0092890/,7.0,65.0,100,6000000.0,3900000.0,64577242.0,217688008.0,1987-08-21,PG-13,Drama Music Romance,USA
386,Donnie Darko (2001),http://www.imdb.com/title/tt0246578/,8.0,88.0,113,6000000.0,110494.0,1478493.0,6979093.0,2002-01-30,R,Drama Mystery Sci-Fi,USA
388,Ghost Rider (2007),http://www.imdb.com/title/tt0259324/,5.2,35.0,110,110000000.0,45388836.0,115802596.0,228738393.0,2007-02-16,PG-13,Action Fantasy Thriller,USA
390,The Exorcist (1973),http://www.imdb.com/title/tt0070047/,8.0,81.0,122,11000000.0,8175666.0,232906145.0,441306145.0,1973-12-26,R,Horror,USA
392,The Exorcist III (1990),http://www.imdb.com/title/tt0099528/,6.4,48.0,110,11000000.0,9312219.0,26098824.0,39024251.0,1990-08-17,R,Drama Horror Mystery,USA
394,Dominion (2005),http://www.imdb.com/title/tt0449086/,5.2,55.0,117,30000000.0,140703.0,251495.0,251495.0,2005-08-01,R,Drama Horror Thriller,USA
396,The X Files (1998),http://www.imdb.com/title/tt0120902/,7.0,60.0,121,66000000.0,30138758.0,83898313.0,189176423.0,1998-06-19,PG-13,Drama Mystery Sci-Fi,USA
398,The Crimson Rivers (2000),http://www.imdb.com/title/tt0228786/,6.9,49.0,106,14000000.0,111026.0,594966.0,60103680.0,2001-07-13,R,Crime Horror Mystery,France
400,Les visiteurs (1993),http://www.imdb.com/title/tt0108500/,7.1,,107,9500000.0,24792.0,659810.0,98800000.0,1996-07-12,R,Comedy Fantasy,France
402,Battle Royale (2000),http://www.imdb.com/title/tt0266308/,7.6,81.0,114,4500000.0,,,958989.0,2000-12-16,R,Adventure Drama Sci-Fi,Japan
404,Terms of Endearment (1983),http://www.imdb.com/title/tt0086425/,7.4,79.0,132,8000000.0,3498813.0,108423489.0,108423489.0,1983-12-09,PG,Comedy Drama,USA
406,Happy Feet (2006),http://www.imdb.com/title/tt0366548/,6.4,77.0,108,100000000.0,41533432.0,198000317.0,384335608.0,2006-11-17,PG,Animation Adventure Comedy,USA
408,Romancing the Stone (1984),http://www.imdb.com/title/tt0088011/,6.9,63.0,106,10000000.0,5105741.0,76572238.0,86572238.0,1984-03-30,PG,Action Adventure Comedy,Mexico
410,Look Who's Talking (1989),http://www.imdb.com/title/tt0097778/,5.9,51.0,93,7500000.0,12107784.0,140088813.0,296999813.0,1989-10-13,PG-13,Comedy,USA
412,Legally Blonde (2001),http://www.imdb.com/title/tt0250494/,6.3,59.0,96,18000000.0,20377426.0,96520674.0,141774679.0,2001-07-13,PG-13,Comedy Romance,USA
414,Scooby-Doo (2002),http://www.imdb.com/title/tt0267913/,5.1,35.0,89,84000000.0,54155312.0,153294164.0,275650703.0,2002-06-14,PG,Adventure Comedy Family,USA
416,Home Alone (1990),http://www.imdb.com/title/tt0099785/,7.6,63.0,103,18000000.0,17081997.0,285761243.0,477063114.0,1990-11-16,PG,Comedy Family,USA
418,Mesrine Part 1: Killer Instinct (2008),http://www.imdb.com/title/tt1259014/,7.5,71.0,113,25000000.0,152873.0,551697.0,31076533.0,2008-10-22,R,Action Biography Crime,France
420,Dark Planet (2009),http://www.imdb.com/title/tt0972558/,5.1,,115,18300000.0,,,23772559.0,2009-01-01,PG,Action Adventure Sci-Fi,Russia
422,Lyubov-Morkov (2007),http://www.imdb.com/title/tt0976209/,5.1,,100,3000000.0,,,12543015.0,2007-03-01,R,Comedy Fantasy,Russia
424,Paragraf 78 (2007),http://www.imdb.com/title/tt0459924/,4.9,,88,4000000.0,,,5484185.0,2007-02-22,R,Action Sci-Fi Thriller,Russia
426,[Anti]killer (2002),http://www.imdb.com/title/tt0325005/,5.6,,114,1500000.0,,,875688.0,2002-08-01,R,Action Crime,Russia
428,Short Circuit (1986),http://www.imdb.com/title/tt0091949/,6.7,50.0,98,9000000.0,5346808.0,40697761.0,40697761.0,1986-05-09,PG,Comedy Family Sci-Fi,USA
430,Keinohrhasen (2007),http://www.imdb.com/title/tt0960790/,6.5,,116,6080000.0,,,81744033.0,2007-12-20,R,Comedy Romance,Germany
432,Pet Sematary (1989),http://www.imdb.com/title/tt0098084/,6.6,38.0,103,11500000.0,12046179.0,57469467.0,57469467.0,1989-04-21,R,Horror Thriller,USA
434,The Three Musketeers (1973),http://www.imdb.com/title/tt0072281/,7.2,,106,4500000.0,,22018000.0,22018000.0,1974-03-29,PG,Action Adventure,USA
436,Three Steps Above Heaven (2010),http://www.imdb.com/title/tt1648216/,7.0,,118,3000000.0,,,14066238.0,2010-12-03,R,Action Drama Romance,Spain
438,The Fly (1986),http://www.imdb.com/title/tt0091064/,7.6,79.0,96,15000000.0,7007423.0,40456565.0,60632088.0,1986-08-15,R,Drama Horror Sci-Fi,USA
440,Rush Hour (1998),http://www.imdb.com/title/tt0120812/,7.0,60.0,98,33000000.0,33001803.0,141186864.0,244721064.0,1998-09-18,PG-13,Action Comedy Crime,USA
442,Police Academy (1984),http://www.imdb.com/title/tt0087928/,6.7,41.0,96,4500000.0,8570007.0,81198894.0,81198894.0,1984-03-23,R,Comedy,USA
444,Police Academy 3: Back in Training (1986),http://www.imdb.com/title/tt0091777/,5.4,33.0,83,12000000.0,9049586.0,43579163.0,107600000.0,1986-03-21,PG,Comedy,Canada
446,Police Academy 5: Assignment: Miami Beach (1988),http://www.imdb.com/title/tt0095882/,4.7,18.0,90,14000000.0,6106661.0,19510371.0,54500000.0,1988-03-18,PG,Comedy Crime,USA
448,Paranormal Activity (2007),http://www.imdb.com/title/tt1179904/,6.3,68.0,86,230000.0,77873.0,107918810.0,193355800.0,2009-10-16,R,Horror Mystery Thriller,USA
450,Paranormal Activity 3 (2011),http://www.imdb.com/title/tt1778304/,5.8,59.0,83,5000000.0,52568183.0,104028807.0,207039844.0,2011-10-21,R,Horror Mystery Thriller,USA
452,Dirty Harry (1971),http://www.imdb.com/title/tt0066999/,7.7,90.0,102,4000000.0,,35976000.0,35976000.0,1971-12-23,R,Action Crime Thriller,USA
454,The Enforcer (1976),http://www.imdb.com/title/tt0086383/,6.8,58.0,96,9000000.0,,46236000.0,46236000.0,1976-12-22,R,Action Crime Thriller,USA
456,Under Siege (1992),http://www.imdb.com/title/tt0105690/,6.5,58.0,103,35000000.0,15760003.0,83563139.0,156563139.0,1992-10-09,R,Action Thriller,France
458,Atlas Shrugged: Part I (2011),http://www.imdb.com/title/tt0480239/,5.6,28.0,97,20000000.0,1677000.0,4627375.0,4627375.0,2011-04-15,PG-13,Drama Mystery Sci-Fi,USA
460,National Treasure (2004),http://www.imdb.com/title/tt0368891/,6.8,39.0,131,100000000.0,35142554.0,173008894.0,347512318.0,2004-11-19,PG,Action Adventure Mystery,USA
462,The Hangover (2009),http://www.imdb.com/title/tt1119646/,7.7,73.0,100,35000000.0,44979319.0,277322503.0,469310836.0,2009-06-05,R,Comedy,USA
464,Deuce Bigalow: Male Gigolo (1999),http://www.imdb.com/title/tt0205000/,5.7,30.0,88,17000000.0,12224016.0,65538755.0,92938755.0,1999-12-10,R,Comedy Romance,USA
466,Fletch (1985),http://www.imdb.com/title/tt0089155/,6.9,68.0,98,8000000.0,7022970.0,50612888.0,59612888.0,1985-05-31,PG,Comedy Crime Mystery,USA
468,City of God (2002),http://www.imdb.com/title/tt0317248/,8.6,79.0,130,3300000.0,88292.0,7564459.0,30680793.0,2004-02-13,R,Crime Drama,Brazil
470,Elite Squad (2007),http://www.imdb.com/title/tt0861739/,8.1,33.0,115,4000000.0,3604.0,8744.0,14759148.0,2007-10-12,R,Action Crime Drama,Brazil
472,Kick-Ass (2010),http://www.imdb.com/title/tt1250777/,7.6,66.0,117,30000000.0,19828687.0,48071303.0,96188903.0,2010-04-16,R,Action Comedy Crime,UK
474,RED (2010),http://www.imdb.com/title/tt1245526/,7.0,60.0,111,58000000.0,21761408.0,90380162.0,199006387.0,2010-10-15,PG-13,Action Comedy Crime,USA
476,The Talented Mr. Ripley (1999),https://www.imdb.com/title/tt0134119/,7.4,76.0,139,40000000.0,12738237.0,81298265.0,128798265.0,1999-12-25,R,Crime Drama Thriller,USA
478,Escape from New York (1981),http://www.imdb.com/title/tt0082340/,7.2,76.0,99,6000000.0,,25244626.0,25244626.0,1981-07-10,R,Action Adventure Sci-Fi,USA
480,The Lawnmower Man (1992),http://www.imdb.com/title/tt0104692/,5.5,42.0,108,10000000.0,7751971.0,32100816.0,32100816.0,1992-03-06,R,Horror Sci-Fi,UK
482,"Honey, I Shrunk the Kids (1989)",http://www.imdb.com/title/tt0097523/,6.3,63.0,93,18000000.0,14262961.0,130724172.0,222724172.0,1989-06-23,PG,Adventure Comedy Family,USA
484,Psycho (1960),http://www.imdb.com/title/tt0054215/,8.5,97.0,109,806947.0,,32000000.0,32000000.0,2060-09-08,R,Horror Mystery Thriller,USA
486,White Noise (2005),http://www.imdb.com/title/tt0375210/,5.5,30.0,101,10000000.0,24113565.0,56386759.0,91196419.0,2005-01-07,PG-13,Drama Horror Mystery,UK
488,Cocoon (1985),http://www.imdb.com/title/tt0088933/,6.7,65.0,117,17500000.0,7936427.0,76113124.0,85313124.0,1985-06-21,PG-13,Comedy Drama Sci-Fi,USA
490,Magic Mike (2012),http://www.imdb.com/title/tt1915581/,6.1,72.0,110,7000000.0,39127170.0,113721571.0,167739368.0,2012-06-29,R,Comedy Drama,USA
492,The Sisterhood of the Traveling Pants (2005),http://www.imdb.com/title/tt0403508/,6.5,66.0,119,25000000.0,9833340.0,39053061.0,42013878.0,2005-06-01,PG,Comedy Drama Romance,USA
494,Bad Santa (2003),http://www.imdb.com/title/tt0307987/,7.0,70.0,92,23000000.0,12500000.0,60060328.0,76488889.0,2003-11-26,R,Comedy Crime Drama,Germany
496,District B13 (2004),http://www.imdb.com/title/tt0414852/,7.2,70.0,84,14400000.0,410000.0,1200216.0,11169386.0,2006-06-02,R,Action Crime Sci-Fi,France
498,Taxi (1998),http://www.imdb.com/title/tt0152930/,7.0,,86,8700000.0,,,44500000.0,1998-11-20,PG-13,Action Comedy Crime,France
500,Taxi 3 (2003),https://www.imdb.com/title/tt0295721/,5.8,,84,14500000.0,288000.0,497208.0,65497208.0,2003-01-29,PG-13,Action Comedy Crime,France
502,Miss Congeniality (2000),http://www.imdb.com/title/tt0212346/,6.2,43.0,109,45000000.0,10046534.0,106807667.0,212742720.0,2000-12-22,PG-13,Action Comedy Crime,USA
504,Sherlock Holmes (2009),http://www.imdb.com/title/tt0988045/,7.6,57.0,128,90000000.0,62304277.0,209028679.0,524028679.0,2009-12-25,PG-13,Action Adventure Mystery,USA
506,Star Trek: The Motion Picture (1979),http://www.imdb.com/title/tt0079945/,6.4,48.0,132,35000000.0,11926421.0,82604699.0,82604699.0,1979-12-08,G,Adventure Mystery Sci-Fi,USA
508,Star Trek III: The Search for Spock (1984),http://www.imdb.com/title/tt0088170/,6.7,56.0,105,17000000.0,16673295.0,76471046.0,76471046.0,1984-06-01,PG,Action Adventure Sci-Fi,USA
510,Star Trek V: The Final Frontier (1989),http://www.imdb.com/title/tt0098382/,5.5,43.0,107,27800000.0,17375648.0,52210049.0,52210049.0,1989-06-09,PG,Action Adventure Fantasy,USA
512,Star Trek: Generations (1994),http://www.imdb.com/title/tt0111280/,6.6,55.0,118,35000000.0,23116394.0,75671125.0,118071125.0,1994-11-18,PG,Action Adventure Mystery,USA
514,Star Trek: Insurrection (1998),http://www.imdb.com/title/tt0120844/,6.4,64.0,103,58000000.0,22052836.0,70187658.0,112587658.0,1998-12-11,PG,Action Adventure Sci-Fi,USA
516,Basic Instinct (1992),http://www.imdb.com/title/tt0103772/,7.0,41.0,127,49000000.0,15129385.0,117727224.0,352927224.0,1992-03-20,R,Drama Mystery Thriller,France
518,The Amazing Spider-Man (2012),http://www.imdb.com/title/tt0948470/,6.9,66.0,136,230000000.0,62004688.0,262030663.0,757930663.0,2012-07-03,PG-13,Action Adventure Sci-Fi,USA
520,Machete (2010),http://www.imdb.com/title/tt0985694/,6.6,60.0,105,10500000.0,11416164.0,26593646.0,45491656.0,2010-09-03,R,Action Crime Thriller,USA
522,21 Jump Street (2012),http://www.imdb.com/title/tt1232829/,7.2,69.0,109,42000000.0,36302612.0,138447667.0,201585328.0,2012-03-16,R,Action Comedy Crime,USA
524,The Girl with the Dragon Tattoo (2009),http://www.imdb.com/title/tt1132620/,7.8,76.0,152,13000000.0,335502.0,10095170.0,104414200.0,2010-04-30,R,Crime Drama Mystery,Sweden
526,Insidious (2010),http://www.imdb.com/title/tt1591095/,6.8,52.0,103,1500000.0,13271464.0,54009150.0,99557032.0,2011-04-01,PG-13,Horror Mystery Thriller,USA
528,Insidious: Chapter 3 (2015),http://www.imdb.com/title/tt3195644/,6.1,52.0,97,10000000.0,22692741.0,52218558.0,112983889.0,2015-06-05,PG-13,Horror Mystery Thriller,Canada
530,Divergent (2014),http://www.imdb.com/title/tt1840309/,6.7,48.0,139,85000000.0,54607747.0,150947895.0,288885818.0,2014-03-21,PG-13,Action Adventure Mystery,USA
532,Rio (2011),http://www.imdb.com/title/tt1436562/,6.9,63.0,96,90000000.0,39225962.0,143619809.0,483866518.0,2011-04-15,G,Animation Adventure Comedy,USA
534,The Best Exotic Marigold Hotel (2011),http://www.imdb.com/title/tt1412386/,7.2,62.0,124,10000000.0,737051.0,46412041.0,136836156.0,2012-05-25,PG-13,Comedy Drama Romance,UK
536,Nymphomaniac: Vol. I (2013),http://www.imdb.com/title/tt1937390/,6.9,64.0,117,2350000.0,158369.0,785896.0,13545832.0,2014-03-06,R,Drama,Denmark
538,The Lego Movie (2014),http://www.imdb.com/title/tt1490017/,7.7,83.0,100,60000000.0,69050279.0,257760692.0,468060692.0,2014-02-07,PG,Animation Action Adventure,USA
540,The Woman in Black (2012),http://www.imdb.com/title/tt1596365/,6.4,62.0,95,17000000.0,20874072.0,54333290.0,128955898.0,2012-02-03,PG-13,Drama Fantasy Horror,UK
542,The Trip (2010),http://www.imdb.com/title/tt1740047/,7.0,,112,1000000.0,77904.0,2030962.0,3945217.0,2011-04-24,PG-13,Comedy Drama,UK
544,The Best Man (1999),http://www.imdb.com/title/tt0168501/,6.8,61.0,120,9000000.0,9031660.0,34102780.0,34573780.0,1999-10-22,R,Comedy Drama Romance,USA
546,Agent Cody Banks (2003),http://www.imdb.com/title/tt0313911/,5.0,41.0,102,28000000.0,14064317.0,47938330.0,58795814.0,2003-03-14,PG,Action Adventure Comedy,USA
548,101 Dalmatians (1996),http://www.imdb.com/title/tt0115433/,5.7,49.0,103,75000000.0,33504025.0,136189294.0,320689294.0,1996-11-27,G,Adventure Comedy Crime,USA
550,Anchorman: The Legend of Ron Burgundy (2004),http://www.imdb.com/title/tt0357413/,7.2,63.0,94,26000000.0,28416365.0,85288303.0,90649730.0,2004-07-09,PG-13,Comedy,USA
552,Lung hing foo dai (1986),http://www.imdb.com/title/tt0091431/,7.1,,88,15000000.0,,,4576550.0,1987-01-21,R,Action Adventure Comedy,Hong Kong
554,New Police Story (2004),http://www.imdb.com/title/tt0386005/,7.0,,123,11000000.0,,,8712057.0,2004-09-24,R,Action Crime Drama,Hong Kong
556,Before Sunrise (1995),http://www.imdb.com/title/tt0112471/,8.1,77.0,101,2500000.0,1423537.0,5535405.0,5986708.0,1995-01-27,R,Drama Romance,USA
558,Asterix and Obelix vs. Caesar (1999),http://www.imdb.com/title/tt0133385/,6.0,,109,42000000.0,304245.0,1541261.0,101600000.0,2000-07-14,PG,Adventure Comedy Family,France
560,Astérix aux jeux olympiques (2008),http://www.imdb.com/title/tt0463872/,5.2,,116,113500000.0,,,131856927.0,2008-06-13,PG,Adventure Comedy Family,France
562,Teenage Mutant Ninja Turtles (2014),http://www.imdb.com/title/tt1291150/,5.8,31.0,101,125000000.0,65575105.0,191204754.0,485004754.0,2014-08-08,PG-13,Action Adventure Comedy,USA
564,The Equalizer (2014),http://www.imdb.com/title/tt0455944/,7.2,57.0,132,55000000.0,34137828.0,101530738.0,192330738.0,2014-09-26,R,Action Crime Thriller,USA
566,The Hunger Games (2012),http://www.imdb.com/title/tt1392170/,7.2,68.0,142,78000000.0,152535747.0,408010692.0,694394724.0,2012-03-23,PG-13,Action Adventure Sci-Fi,USA
568,The Hunger Games: Mockingjay - Part 1 (2014),http://www.imdb.com/title/tt1951265/,6.6,64.0,123,125000000.0,121897634.0,337135885.0,755356711.0,2014-11-21,PG-13,Action Adventure Sci-Fi,USA
570,The Omega Code (1999),http://www.imdb.com/title/tt0203408/,3.6,14.0,100,8000000.0,2354362.0,12614346.0,12614346.0,1999-08-27,PG-13,Action Adventure Fantasy,USA
572,Ride Along (2014),http://www.imdb.com/title/tt1408253/,6.2,41.0,99,25000000.0,41516170.0,134938200.0,154468902.0,2014-01-17,PG-13,Action Comedy Crime,USA
574,The Muppets (2011),http://www.imdb.com/title/tt1204342/,7.1,75.0,120,45000000.0,29239026.0,88631237.0,165184237.0,2011-11-23,PG,Adventure Comedy Family,USA
576,The Muppet Movie (1979),http://www.imdb.com/title/tt0079588/,7.6,74.0,95,8000000.0,,65810475.0,65810475.0,1979-06-22,G,Adventure Comedy Family,UK
578,The Muppets Take Manhattan (1984),http://www.imdb.com/title/tt0082474/,6.9,64.0,94,8000000.0,4416022.0,25534703.0,25534703.0,1984-07-13,G,Adventure Comedy Drama,USA
580,A Haunted House (2013),http://www.imdb.com/title/tt2243537/,5.0,20.0,86,2500000.0,18101682.0,40041683.0,60159584.0,2013-01-11,R,Comedy Fantasy,USA
582,Think Like a Man (2012),http://www.imdb.com/title/tt1621045/,6.6,51.0,122,12000000.0,33636303.0,91547205.0,96070507.0,2012-04-20,PG-13,Comedy Romance,USA
584,Critters (1986),http://www.imdb.com/title/tt0090887/,6.1,52.0,86,2000000.0,1618800.0,13167232.0,13167232.0,1986-04-11,PG-13,Comedy Horror Sci-Fi,USA
586,Dolphin Tale (2011),http://www.imdb.com/title/tt1564349/,6.9,64.0,113,37000000.0,19152401.0,72286779.0,95943453.0,2011-09-23,PG,Drama Family,Canada
588,Hot Tub Time Machine (2010),http://www.imdb.com/title/tt1231587/,6.4,63.0,101,36000000.0,14020502.0,50287556.0,64780213.0,2010-03-26,R,Comedy Sci-Fi,USA
590,Paul Blart: Mall Cop (2009),http://www.imdb.com/title/tt1114740/,5.2,39.0,91,26000000.0,31832636.0,146336178.0,183348429.0,2009-01-16,PG,Action Comedy Crime,USA
592,Horrible Bosses (2011),http://www.imdb.com/title/tt1499658/,6.9,57.0,98,35000000.0,28302165.0,117538559.0,209838559.0,2011-07-08,R,Comedy Crime,USA
594,The Descent (2005),http://www.imdb.com/title/tt0435625/,7.2,71.0,99,7000000.0,8911330.0,26024456.0,57130027.0,2006-08-04,R,Adventure Horror Thriller,UK
596,REC (2007),http://www.imdb.com/title/tt1038988/,7.4,69.0,78,2000000.0,,,32511655.0,2007-11-23,R,Action Adventure Fantasy,Spain
598,[REC] 3: Genesis (2012),http://www.imdb.com/title/tt1649444/,5.0,45.0,80,6400000.0,3001.0,9600.0,11019975.0,2012-03-30,R,Action Comedy Horror,Spain
600,Grave Encounters (2011),http://www.imdb.com/title/tt1703199/,6.1,33.0,92,120000.0,,,3613222.0,2011-09-09,R,Adventure Fantasy Horror,Canada
602,An American Werewolf in London (1981),http://www.imdb.com/title/tt0082010/,7.5,60.0,97,10000000.0,3786512.0,30565292.0,30565292.0,1981-08-21,R,Comedy Horror,UK
604,The Blues Brothers (1980),http://www.imdb.com/title/tt0080455/,7.9,60.0,133,27000000.0,4858152.0,57229890.0,115229890.0,1980-06-20,R,Adventure Comedy Crime,USA
606,Fright Night (1985),http://www.imdb.com/title/tt0089175/,7.1,62.0,106,9000000.0,6118543.0,24922237.0,24922237.0,1985-08-02,R,Horror Thriller,USA
608,Child's Play (1988),http://www.imdb.com/title/tt0094862/,6.6,58.0,87,9000000.0,6583963.0,33244684.0,44196684.0,1988-11-09,R,Horror Thriller,USA
610,Child's Play 3 (1991),http://www.imdb.com/title/tt0103956/,5.1,27.0,90,13000000.0,5718940.0,14960255.0,20560255.0,1991-08-30,R,Horror Thriller,UK
612,Seed of Chucky (2004),http://www.imdb.com/title/tt0387575/,4.8,46.0,87,12000000.0,8800000.0,17083732.0,24829644.0,2004-11-12,R,Comedy Fantasy Horror,USA
614,Major League (1989),http://www.imdb.com/title/tt0097815/,7.2,62.0,107,11000000.0,8836265.0,49797148.0,49797148.0,1989-04-07,R,Comedy Sport,USA
