,Title,url,IMDB Score,Metacritic,Runtime (mins),Budget,Opening Weekend,Gross USA,Gross World,Release Date,Rating,Genres,Country
930,Shaft (2000),https://www.imdb.com/title/tt0162650/,5.9,50.0,99,46000000.0,21714757.0,70334258.0,107626125.0,2000-06-16,R,Action Crime Thriller,Germany
932,Shaft (1971),https://www.imdb.com/title/tt0067741/,6.6,66.0,100,500000.0,,,12000000.0,1971-07-02,R,Action Crime Thriller,USA
934,Skyline (2010),https://www.imdb.com/title/tt1564585/,4.4,26.0,92,10000000.0,11692415.0,21393620.0,66984887.0,2010-11-12,PG-13,Action Sci-Fi Thriller,USA
936,Rio Bravo (1959),https://www.imdb.com/title/tt0053221/,8.0,93.0,141,1214899.0,,12535000.0,12535000.0,2059-04-04,PG,Action Drama Western,USA
938,Saturday Night Fever (1977),https://www.imdb.com/title/tt0076666/,6.8,77.0,118,3000000.0,3878099.0,94213184.0,237113184.0,1977-12-16,R,Drama Music,USA
940,Creepshow (1982),https://www.imdb.com/title/tt0083767/,6.9,59.0,120,8000000.0,5870889.0,21028755.0,21028755.0,1982-11-12,R,Comedy Fantasy Horror,USA
942,Escape Plan (2013),https://www.imdb.com/title/tt1211956/,6.7,49.0,115,50000000.0,9885732.0,25135965.0,137328301.0,2013-10-18,R,Action Thriller,USA
944,Bad Moms (2016),https://www.imdb.com/title/tt4651520/,6.2,60.0,100,20000000.0,23817340.0,113257297.0,183936074.0,2016-07-29,R,Comedy,USA
946,Get Shorty (1995),https://www.imdb.com/title/tt0113161/,6.9,82.0,105,30250000.0,12700007.0,72101622.0,115101622.0,1995-10-20,R,Comedy Crime Thriller,USA
948,Grumpy Old Men (1993),https://www.imdb.com/title/tt0107050/,7.0,53.0,103,35100000.0,3874911.0,70172621.0,70172621.0,1993-12-25,PG-13,Comedy Drama Romance,USA
950,Iron Sky (2012),https://www.imdb.com/title/tt1034314/,5.9,,93,10000000.0,,122082.0,10109659.0,2012-04-04,R,Action Adventure Comedy,Finland
952,Super Troopers (2001),https://www.imdb.com/title/tt0247745/,7.1,48.0,100,3000000.0,6203906.0,18492362.0,23182223.0,2002-02-15,R,Comedy Crime Mystery,USA
954,Beethoven (1992),https://www.imdb.com/title/tt0103786/,5.7,,87,18000000.0,7587565.0,57114049.0,147214049.0,1992-04-03,PG,Comedy Drama Family,USA
956,Malevolence (2004),https://www.imdb.com/title/tt0388230/,5.1,43.0,85,200000.0,13445.0,127287.0,258782.0,2004-09-10,R,Crime Horror Mystery,USA
958,Brighton Beach Memoirs (1986),https://www.imdb.com/title/tt0090774/,6.8,54.0,108,18000000.0,2580750.0,11957943.0,11957943.0,1986-12-25,PG-13,Comedy,USA
960,Mighty Morphin Power Rangers: The Movie (1995),https://www.imdb.com/title/tt0113820/,5.2,40.0,95,20000000.0,13104788.0,38187431.0,66433194.0,1995-06-30,PG,Action Adventure Family,USA
962,Daddy Day Care (2003),https://www.imdb.com/title/tt0317303/,5.6,39.0,92,60000000.0,27623580.0,104297061.0,164433867.0,2003-05-09,PG,Comedy Family,USA
