Title,url
"Big Mommas: Like Father, Like Son",http://www.imdb.com/title/tt1464174/
Open Season,http://www.imdb.com/title/tt0400717/
Open Season 3,http://www.imdb.com/title/tt1646926/
The Grudge,http://www.imdb.com/title/tt0391198/
The Grudge 2,http://www.imdb.com/title/tt0433386/
The Grudge 3,http://www.imdb.com/title/tt1053859/
National Lampoon's Van Wilder,http://www.imdb.com/title/tt0283111/
Van Wilder 2: The Rise of Taj,http://www.imdb.com/title/tt0480271/
The Butterfly Effect,http://www.imdb.com/title/tt0289879/
The Butterfly Effect 2,http://www.imdb.com/title/tt0457297/
The Butterfly Effect 3: Revelations,http://www.imdb.com/title/tt1234541/
Harold & Kumar Go to White Castle,http://www.imdb.com/title/tt0366551/
Harold & Kumar Escape from Guantanamo Bay,http://www.imdb.com/title/tt0481536/
A Very Harold & Kumar Christmas,http://www.imdb.com/title/tt1268799/
Hollow Man,http://www.imdb.com/title/tt0164052/
Starship Troopers,http://www.imdb.com/title/tt0120201/
Ice Age,http://www.imdb.com/title/tt0268380/
Ice Age: The Meltdown,http://www.imdb.com/title/tt0438097/
Ice Age: Dawn of the Dinosaurs,http://www.imdb.com/title/tt1080016/
Ice Age: Continental Drift,http://www.imdb.com/title/tt1667889/
Madagascar,http://www.imdb.com/title/tt0351283/
Madagascar: Escape 2 Africa,http://www.imdb.com/title/tt0479952/
Madagascar 3: Europe's Most Wanted,http://www.imdb.com/title/tt1277953/
Kung Fu Panda,http://www.imdb.com/title/tt0441773/
Kung Fu Panda 2,http://www.imdb.com/title/tt1302011/
The Lion King,http://www.imdb.com/title/tt0110357/
The Little Mermaid,http://www.imdb.com/title/tt0097757/
The Prince and Me,http://www.imdb.com/title/tt0337697/
The Princess Diaries,http://www.imdb.com/title/tt0247638/
The Princess Diaries 2: Royal Engagement,http://www.imdb.com/title/tt0368933/
Bridget Jones's Diary,http://www.imdb.com/title/tt0243155/
Bridget Jones: The Edge of Reason,http://www.imdb.com/title/tt0317198/
Bridget Jones's Baby,http://www.imdb.com/title/tt1473832/
Mulan,http://www.imdb.com/title/tt0120762/
Bambi,http://www.imdb.com/title/tt0034492/
The Bourne Identity,http://www.imdb.com/title/tt0258463/
The Bourne Supremacy,http://www.imdb.com/title/tt0372183/
The Bourne Ultimatum,http://www.imdb.com/title/tt0440963/
The Bourne Legacy,http://www.imdb.com/title/tt1194173/
The Fox and the Hound,http://www.imdb.com/title/tt0082406/
Brother,http://www.imdb.com/title/tt0118767/
Brat 2,http://www.imdb.com/title/tt0238883/
Brother Bear,http://www.imdb.com/title/tt0328880/
Class of 1999,http://www.imdb.com/title/tt0099277/
Class of 1999 II: The Substitute,http://www.imdb.com/title/tt0109442/
Clash of the Titans,http://www.imdb.com/title/tt0800320/
Wrath of the Titans,http://www.imdb.com/title/tt1646987/
Halloween,http://www.imdb.com/title/tt0077651/
Halloween II,http://www.imdb.com/title/tt0082495/
Halloween III: Season of the Witch,http://www.imdb.com/title/tt0085636/
Halloween 4: The Return of Michael Myers,http://www.imdb.com/title/tt0095271/
Halloween 5: The Revenge of Michael Myers,http://www.imdb.com/title/tt0097474/
Halloween: The Curse of Michael Myers,http://www.imdb.com/title/tt0113253/
Halloween H20: 20 Years Later,http://www.imdb.com/title/tt0120694/
Halloween: Resurrection,http://www.imdb.com/title/tt0220506/
Halloween,http://www.imdb.com/title/tt0373883/
Halloween II,http://www.imdb.com/title/tt1311067/
Halloween,http://www.imdb.com/title/tt1502407/
Joy Ride,http://www.imdb.com/title/tt0206314/
Wrong Turn,http://www.imdb.com/title/tt0295700/
Wishmaster,http://www.imdb.com/title/tt0120524/
Hot Shots!,http://www.imdb.com/title/tt0102059/
Hot Shots! Part Deux,http://www.imdb.com/title/tt0107144/
The Naked Gun: From the Files of Police Squad!,http://www.imdb.com/title/tt0095705/
The Naked Gun 2½: The Smell of Fear,http://www.imdb.com/title/tt0102510/
Naked Gun 33 1/3: The Final Insult,http://www.imdb.com/title/tt0110622/
Marley & Me,http://www.imdb.com/title/tt0822832/
Beverly Hills Chihuahua,http://www.imdb.com/title/tt1014775/
Night at the Museum,http://www.imdb.com/title/tt0477347/
Night at the Museum: Battle of the Smithsonian,http://www.imdb.com/title/tt1078912/
Beauty and the Beast,http://www.imdb.com/title/tt0101414/
