Title,url,Year-Rel-Type,IMDB Score,Metacritic Score,Rating,Genre,Runtime
Insurgent,http://www.imdb.com/title/tt2908446/,2015,6.2,42,PG-13,Action Adventure Sci-Fi,119
Allegiant,http://www.imdb.com/title/tt3410834/,2016,5.7,33,PG-13,Action Adventure Mystery,120
Rio,http://www.imdb.com/title/tt1436562/,2011,6.9,63,G,Animation Adventure Comedy,96
Rio 2,http://www.imdb.com/title/tt2357291/,2014,6.3,49,G,Animation Adventure Comedy,101
Jarhead,http://www.imdb.com/title/tt0418763/,2005,7,58,R,Action Biography Drama,125
Jarhead 2: Field of Fire,http://www.imdb.com/title/tt3699508/,2014 Video,5.5,None,R,Action Drama War,103
The Best Exotic Marigold Hotel,http://www.imdb.com/title/tt1412386/,2011,7.2,62,PG-13,Comedy Drama Romance,124
The Second Best Exotic Marigold Hotel,http://www.imdb.com/title/tt2555736/,2015,6.6,51,PG,Comedy Drama,122
Nymphomaniac: Vol. I,http://www.imdb.com/title/tt1937390/,2013,6.9,64,Not Rated,Drama,117
Nymphomaniac: Vol. II,http://www.imdb.com/title/tt2382009/,2013,6.7,60,Not Rated,Drama,124
The Lego Movie,http://www.imdb.com/title/tt1490017/,2014,7.7,83,PG,Animation Action Adventure,100
The Lego Movie 2: The Second Part,http://www.imdb.com/title/tt3513498/,2019,6.6,65,PG,Animation Action Adventure,107
Furious 6,http://www.imdb.com/title/tt1905041/,2013,7.1,61,PG-13,Action Adventure Thriller,130
Furious 7,http://www.imdb.com/title/tt2820852/,2015,7.1,67,PG-13,Action Adventure Thriller,137
The Woman in Black,http://www.imdb.com/title/tt1596365/,2012,6.4,62,PG-13,Drama Fantasy Horror,95
The Woman in Black 2: Angel of Death,http://www.imdb.com/title/tt2339741/,2014,4.8,42,PG-13,Drama Horror Thriller,98
The Trip,http://www.imdb.com/title/tt1740047/,2010,7,None,Not Rated,Comedy Drama,112
The Trip to Italy,http://www.imdb.com/title/tt2967006/,2014,6.6,75,Not Rated,Comedy Drama,108
The Best Man,http://www.imdb.com/title/tt0168501/,1999,6.8,61,R,Comedy Drama Romance,120
The Best Man Holiday,http://www.imdb.com/title/tt2083355/,2013,6.7,59,R,Comedy Drama,123
The Best Man Wedding,http://www.imdb.com/title/tt3345056/,None,None,None,None,Comedy Romance,None
Agent Cody Banks,http://www.imdb.com/title/tt0313911/,2003,5,41,PG,Action Adventure Comedy,102
Agent Cody Banks 2: Destination London,http://www.imdb.com/title/tt0358349/,2004,4.6,32,PG,Action Adventure Comedy,100
101 Dalmatians,http://www.imdb.com/title/tt0115433/,1996,5.7,49,G,Adventure Comedy Crime,103
102 Dalmatians,http://www.imdb.com/title/tt0211181/,2000,4.9,35,G,Adventure Comedy Family,100
Anchorman: The Legend of Ron Burgundy,http://www.imdb.com/title/tt0357413/,2004,7.2,63,PG-13,Comedy,94
Anchorman 2: The Legend Continues,http://www.imdb.com/title/tt1229340/,2013,6.3,61,PG-13,Comedy,119
Lung hing foo dai,http://www.imdb.com/title/tt0091431/,1986,7.1,None,R,Action Adventure Comedy,88
Operation Condor,http://www.imdb.com/title/tt0099558/,1991,7.3,None,PG-13,Action Adventure Comedy,80
Sap ji sang ciu,http://www.imdb.com/title/tt1424310/,2012,6.1,29,PG-13,Action Adventure Comedy,109
Police Story,http://www.imdb.com/title/tt0089374/,1985,7.6,78,PG-13,Action Comedy Crime,100
Police Story 2,http://www.imdb.com/title/tt0095403/,1988,7.1,68,PG-13,Action Comedy Crime,101
Supercop,http://www.imdb.com/title/tt0104558/,1992,6.9,None,R,Action Comedy Crime,91
Supercop 2,http://www.imdb.com/title/tt0106544/,1993,6.1,None,R,Action Comedy Crime,104
First Strike,http://www.imdb.com/title/tt0116704/,1996,6.6,None,PG-13,Action Adventure Comedy,107
New Police Story,http://www.imdb.com/title/tt0386005/,2004,7,None,R,Action Crime Drama,123
Police Story: Lockdown,http://www.imdb.com/title/tt2599716/,2013,6.1,44,Not Rated,Action Adventure Crime,110
Before Sunrise,http://www.imdb.com/title/tt0112471/,1995,8.1,77,R,Drama Romance,101
Before Sunset,http://www.imdb.com/title/tt0381681/,2004,8,90,R,Drama Romance,80
Before Midnight,http://www.imdb.com/title/tt2209418/,2013,7.9,94,R,Drama Romance,109
Asterix and Obelix vs. Caesar,http://www.imdb.com/title/tt0133385/,1999,6,None,Not Rated,Adventure Comedy Family,109
Asterix & Obelix: Mission Cleopatra,http://www.imdb.com/title/tt0250223/,2002,6.6,None,PG,Adventure Comedy Family,107
Astérix aux jeux olympiques,http://www.imdb.com/title/tt0463872/,2008,5.2,None,Not Rated,Adventure Comedy Family,116
Astérix and Obélix: God Save Britannia,http://www.imdb.com/title/tt1597522/,2012,5.3,None,None,Adventure Comedy Family,110
Tremors,http://www.imdb.com/title/tt0100814/,1990,7.1,65,PG-13,Comedy Horror,96
Tremors II: Aftershocks,http://www.imdb.com/title/tt0114720/,1996 Video,6,None,PG-13,Action Comedy Horror,100
Tremors 3: Back to Perfection,http://www.imdb.com/title/tt0259685/,2001 Video,5.3,None,PG,Action Comedy Horror,104
Tremors 4: The Legend Begins,http://www.imdb.com/title/tt0334541/,2004 Video,5.3,None,PG-13,Action Adventure Comedy,101
Transformers: Age of Extinction,http://www.imdb.com/title/tt2109248/,2014,5.6,32,PG-13,Action Adventure Sci-Fi,165
Transformers: The Last Knight,http://www.imdb.com/title/tt3371366/,2017,5.2,27,PG-13,Action Adventure Sci-Fi,154
Teenage Mutant Ninja Turtles,http://www.imdb.com/title/tt1291150/,2014,5.8,31,PG-13,Action Adventure Comedy,101
Teenage Mutant Ninja Turtles: Out of the Shadows,http://www.imdb.com/title/tt3949660/,2016,6,40,PG-13,Action Adventure Comedy,112
The Equalizer,http://www.imdb.com/title/tt0455944/,2014,7.2,57,R,Action Crime Thriller,132
The Equalizer 2,http://www.imdb.com/title/tt3766354/,2018,6.7,50,R,Action Crime Thriller,121
The Hunger Games,http://www.imdb.com/title/tt1392170/,2012,7.2,68,PG-13,Action Adventure Sci-Fi,142
The Hunger Games: Catching Fire,http://www.imdb.com/title/tt1951264/,2013,7.5,76,PG-13,Action Adventure Mystery,146
The Hunger Games: Mockingjay - Part 1,http://www.imdb.com/title/tt1951265/,2014,6.6,64,PG-13,Action Adventure Sci-Fi,123
The Hunger Games: Mockingjay - Part 2,http://www.imdb.com/title/tt1951266/,2015,6.5,65,PG-13,Action Adventure Sci-Fi,137
The Omega Code,http://www.imdb.com/title/tt0203408/,1999,3.6,14,PG-13,Action Adventure Fantasy,100
Megiddo,http://www.imdb.com/title/tt0263728/,2001,4.1,35,PG-13,Action Adventure Fantasy,104
Ride Along,http://www.imdb.com/title/tt1408253/,2014,6.2,41,PG-13,Action Comedy Crime,99
Ride Along 2,http://www.imdb.com/title/tt2869728/,2016,5.9,32,PG-13,Action Comedy Crime,102
The Muppets,http://www.imdb.com/title/tt1204342/,2011,7.1,75,PG,Adventure Comedy Family,103
Muppets Most Wanted,http://www.imdb.com/title/tt2281587/,2014,6.4,61,PG,Adventure Comedy Crime,107
The Muppet Movie,http://www.imdb.com/title/tt0079588/,1979,7.6,74,G,Adventure Comedy Family,95
The Muppets Take Manhattan,http://www.imdb.com/title/tt0087755/,1984,6.9,64,G,Adventure Comedy Drama,94
The Great Muppet Caper,http://www.imdb.com/title/tt0082474/,1981,7.2,70,G,Adventure Comedy Crime,97
Muppets from Space,http://www.imdb.com/title/tt0158811/,1999,6.3,53,G,Adventure Comedy Family,87
A Haunted House,http://www.imdb.com/title/tt2243537/,2013,5,20,R,Comedy Fantasy,86
A Haunted House 2,http://www.imdb.com/title/tt2828996/,2014,4.7,17,R,Comedy Fantasy,86
Think Like a Man,http://www.imdb.com/title/tt1621045/,2012,6.6,51,PG-13,Comedy Romance,122
Think Like a Man Too,http://www.imdb.com/title/tt2239832/,2014,5.8,38,PG-13,Comedy Romance,106
Into the Blue,http://www.imdb.com/title/tt0378109/,2005,5.9,45,PG-13,Action Adventure Crime,110
Into the Blue 2: The Reef,http://www.imdb.com/title/tt0865907/,2009 Video,4.7,None,Unrated,Action Adventure Thriller,92
